"","x"
"5",1
"6",1
"7",0
"10",1
"11",1
"12",0
"13",0
"23",1
"26",0
"28",1
"29",0
"30",0
"31",0
"32",0
"33",1
"34",1
"38",1
"41",1
"42",0
"44",1
"45",1
"51",1
"58",0
"60",1
"62",0
"63",0
"69",1
"75",0
"76",0
"78",0
"81",1
"86",1
"89",1
"92",0
"93",1
"96",1
"97",1
"98",1
"110",0
"115",1
"116",1
"118",1
"119",1
"122",1
"129",1
"131",1
"133",1
"134",1
"136",0
"140",1
"142",1
"144",1
"146",0
"150",1
"151",1
"154",1
"157",1
"158",1
"160",1
"161",1
"166",1
"169",1
"170",0
"173",1
"177",1
"178",1
"179",1
"180",0
"184",1
"190",1
"191",1
"192",1
"198",1
"199",1
"202",1
"207",1
"208",1
"215",1
"224",1
"225",1
"226",0
"228",1
"230",0
"231",1
"232",1
"238",1
"242",1
"243",1
"245",0
"246",1
"248",1
"249",1
"251",1
"252",1
"256",0
"258",1
"260",1
"262",1
"263",1
"267",1
"270",1
"271",1
"274",1
"279",1
"282",1
"284",1
"285",1
"286",1
"289",1
"291",1
"292",1
"296",1
"297",1
"301",1
"304",1
"307",1
"310",1
"312",1
"316",1
"322",1
"323",1
"326",1
"327",1
"334",1
"335",1
"343",0
"344",1
"345",1
"346",0
"349",1
"356",0
"357",1
"358",1
"363",1
"365",1
"368",1
"369",1
"374",1
"375",1
"377",1
"379",1
"382",1
"384",1
"385",1
"386",0
"388",1
"390",1
"391",0
"394",1
"395",1
"396",1
"398",1
"400",0
"401",1
"402",1
"405",0
"409",1
"410",1
"415",1
"416",1
"417",1
"418",1
"422",1
"424",1
"425",1
"426",1
"429",1
"432",1
"433",1
"434",1
"436",1
"437",1
"438",1
"439",1
"440",1
"442",1
"447",0
"450",1
"452",1
"461",1
"467",1
"468",1
"469",1
"471",1
"476",1
"478",1
"481",1
"482",0
"484",1
"485",1
"486",1
"487",1
"490",0
"493",0
"494",1
"498",1
"500",0
"502",0
"505",1
"510",1
"514",0
"517",0
"520",1
"523",1
"524",1
"525",0
"528",1
"530",1
"531",1
"535",1
"536",1
"537",1
"538",1
"539",1
"541",0
"542",1
"543",1
"549",0
"550",1
"551",0
"553",0
"555",1
"557",1
"558",1
"560",0
"563",1
"564",1
"565",1
"566",0
"567",0
"569",1
"577",0
"579",1
"581",1
"582",1
"585",1
"586",1
"591",1
"593",0
"594",1
"597",1
"599",1
"602",0
"603",1
"604",1
"605",1
"606",1
"607",1
"617",1
"618",1
"623",0
"625",1
"626",1
"628",1
"629",0
"634",1
"637",1
"641",0
"642",1
"649",1
"650",1
"653",1
"655",0
"657",1
"659",0
"660",1
"665",1
"666",0
"667",1
"668",1
"674",1
"675",1
"678",1
"681",1
"683",1
"686",0
"688",1
"690",0
"691",0
"694",1
"696",1
"697",1
"699",1
"701",1
"702",1
"703",1
"705",1
"706",0
"707",1
"709",1
"710",1
"712",1
"713",1
"715",1
"717",0
"718",1
"719",1
"726",1
"731",1
"732",0
"734",1
"735",1
"737",0
"739",1
"740",1
"741",1
"743",1
"745",0
"747",0
"751",1
"752",0
"756",1
"757",0
"758",1
"761",1
"764",1
"769",1
"772",1
"774",0
"776",0
"777",1
"783",1
"787",1
"791",1
"795",0
"798",0
"799",0
"801",1
"804",0
"808",1
"810",1
"812",1
"814",1
"817",0
"819",0
"824",1
"827",1
"828",0
"829",0
"830",0
"834",1
"840",1
"843",1
"846",1
"848",1
"851",1
"854",1
"856",1
"858",1
"860",1
"863",1
"864",1
"865",1
"866",1
"868",1
"870",0
"871",0
"874",1
"875",1
"876",0
"879",1
"881",0
"883",1
"888",0
"892",0
"894",1
"898",1
"899",0
"900",1
"901",1
"905",1
"907",1
"909",1
"913",1
"914",1
"916",1
"925",1
"932",1
"939",1
"941",1
"944",1
"947",0
"950",1
"953",1
"955",1
"959",1
"961",1
"963",0
"965",1
"967",1
"970",1
"972",1
"980",0
"981",0
"985",1
"991",1
"993",1
"997",1
"1000",1
"1002",1
"1005",1
"1007",1
"1009",1
"1015",1
"1017",1
"1021",0
"1022",1
"1023",1
"1025",0
"1028",0
"1035",0
"1036",1
"1039",1
"1040",1
"1041",0
"1042",1
"1043",1
"1044",1
"1047",0
"1048",0
"1049",1
"1051",0
"1054",0
"1056",1
"1059",1
"1063",1
"1067",1
"1068",1
"1069",1
"1071",1
"1073",1
"1075",1
"1076",1
"1079",1
"1084",1
"1085",1
"1086",1
"1091",1
"1094",1
"1097",0
"1099",1
"1101",1
"1102",1
"1105",1
"1106",1
"1108",0
"1109",0
"1112",1
"1114",1
"1115",1
"1118",1
"1119",1
"1122",0
"1126",1
"1128",0
"1131",1
"1132",0
"1134",1
"1135",1
"1137",1
"1138",1
"1141",1
"1144",1
"1145",0
"1146",0
"1147",1
"1148",1
"1152",1
"1153",0
"1155",0
"1162",1
"1163",1
"1167",1
"1170",0
"1183",0
"1187",0
"1189",0
"1190",1
"1192",0
"1194",1
"1197",1
"1199",1
"1201",1
"1204",1
"1208",1
"1214",1
"1218",0
"1220",1
"1221",1
"1222",1
"1224",1
"1232",1
"1233",1
"1234",0
"1236",1
"1237",0
"1241",0
"1243",1
"1244",1
"1246",0
"1252",0
"1256",1
"1257",0
"1258",1
"1260",0
"1262",1
"1266",1
"1267",1
"1268",1
"1273",1
"1274",0
"1275",0
"1281",1
"1282",1
"1285",1
"1286",1
"1289",0
"1290",0
"1292",1
"1293",1
"1297",1
"1299",1
"1300",1
"1301",1
"1304",1
"1305",1
"1308",1
"1310",1
"1311",1
"1313",0
"1316",1
"1317",1
"1319",1
"1323",1
"1325",1
"1327",1
"1328",1
"1330",1
"1331",1
"1333",1
"1339",1
"1342",1
"1343",1
"1347",1
"1350",1
"1355",1
"1356",1
"1361",1
"1364",1
"1367",1
"1370",0
"1371",1
"1373",1
"1374",0
"1377",1
"1380",1
"1384",1
"1385",1
"1387",1
"1388",1
"1392",1
"1393",1
"1398",1
"1401",1
"1405",1
"1407",1
"1408",1
"1409",1
"1413",0
"1414",1
"1415",1
"1422",1
"1424",1
"1431",0
"1434",0
"1437",1
"1438",1
"1439",0
"1440",1
"1443",1
"1446",1
"1449",1
"1450",0
"1454",1
"1461",1
"1464",1
"1466",1
"1471",0
"1472",0
"1474",0
"1475",1
"1477",1
"1480",1
"1484",0
"1485",0
"1487",1
"1491",1
"1493",0
"1495",0
"1502",1
"1504",1
"1505",0
"1508",0
"1509",0
"1513",0
"1516",0
"1517",0
"1518",0
"1529",0
"1531",1
"1534",1
"1535",1
"1537",1
"1538",1
"1539",1
"1543",1
"1544",1
"1546",1
"1547",1
"1552",1
"1553",1
"1554",0
"1555",1
"1556",1
"1559",1
"1561",1
"1569",1
"1572",1
"1573",1
"1575",1
"1576",1
"1577",0
"1578",1
"1579",1
"1581",1
"1586",1
"1590",0
"1592",1
"1596",1
"1597",1
"1605",0
"1612",1
"1616",1
"1621",0
"1622",1
"1623",1
"1624",1
"1625",0
"1628",1
"1630",1
"1631",1
"1634",1
"1638",1
"1640",0
"1644",0
"1645",1
"1649",1
"1650",1
"1652",1
"1657",1
"1660",1
"1665",1
"1669",1
"1670",1
"1674",1
"1675",1
"1676",1
"1682",1
"1689",1
"1692",1
"1693",0
"1696",1
"1699",1
"1700",0
"1701",1
"1703",0
"1706",0
"1707",1
"1712",1
"1722",1
"1723",1
"1727",1
"1731",1
"1733",0
"1734",0
"1737",1
"1738",1
"1739",0
"1741",1
"1742",1
"1745",1
"1750",1
"1755",1
"1758",0
"1759",0
"1760",1
"1763",1
"1768",0
"1772",1
"1775",1
"1781",0
"1782",1
"1787",0
"1788",0
"1790",1
"1792",1
"1796",0
"1802",1
"1803",1
"1804",1
"1806",1
"1807",1
"1808",0
"1809",0
"1812",1
"1815",1
"1817",1
"1820",0
"1823",1
"1825",0
"1830",0
"1832",1
"1837",0
"1838",0
"1845",1
"1846",1
"1848",0
"1852",1
"1855",1
"1859",1
"1860",1
"1861",0
"1862",1
"1863",1
"1865",0
"1869",1
"1870",1
"1876",1
"1877",1
"1878",1
"1881",1
"1882",1
"1884",1
"1885",0
"1888",0
"1890",1
"1892",1
"1894",1
"1896",1
"1898",0
"1901",1
"1902",1
"1904",0
"1909",0
"1912",1
"1913",1
"1915",1
"1917",1
"1919",1
"1921",1
"1924",1
"1927",1
"1934",0
"1935",0
"1937",1
"1943",0
"1944",1
"1947",1
"1948",1
"1950",1
"1952",1
"1953",1
"1963",1
"1964",1
"1965",1
"1966",1
"1968",1
"1972",1
"1975",0
"1977",1
"1978",1
"1991",1
"1992",1
"1993",1
"1994",1
"1995",0
"1996",1
"1999",1
"2002",1
"2005",1
"2006",1
"2008",1
"2010",1
"2013",1
"2017",1
"2018",1
"2024",1
"2026",1
"2027",1
"2028",1
"2035",0
"2045",1
"2047",1
"2048",1
"2050",1
"2052",1
"2053",1
"2054",1
"2058",1
"2059",1
"2060",1
"2061",0
"2065",1
"2072",1
"2073",1
"2081",1
"2085",1
"2086",1
"2087",1
"2091",1
"2092",1
"2097",0
"2099",0
"2101",1
"2105",0
"2106",1
"2110",0
"2112",1
"2116",1
"2118",1
"2119",1
"2122",1
"2124",0
"2131",1
"2133",1
"2136",1
"2140",0
"2145",0
"2146",1
"2147",1
"2150",1
"2151",1
"2153",0
"2155",1
"2156",1
"2158",0
"2161",1
"2162",1
"2163",0
"2165",1
"2167",1
"2169",1
"2173",1
"2174",1
"2176",1
"2180",1
"2183",1
"2186",1
"2193",1
"2195",1
"2199",1
"2201",1
"2203",1
"2204",1
"2208",1
"2214",1
"2216",1
"2217",0
"2218",1
"2219",1
"2220",0
"2221",1
"2222",1
"2224",0
"2225",1
"2227",1
"2229",0
"2231",1
"2232",1
"2234",1
"2238",1
"2239",1
"2254",1
"2255",1
"2257",1
"2259",0
"2268",1
"2275",0
"2284",1
"2287",1
"2288",1
"2290",1
"2292",1
"2296",1
"2297",1
"2302",1
"2309",1
"2310",1
"2311",1
"2312",1
"2314",1
"2316",1
"2317",1
"2321",1
"2327",1
"2330",1
"2331",1
"2333",1
"2335",1
"2336",1
"2339",1
"2342",1
"2343",1
"2346",1
"2348",0
"2350",1
"2351",0
"2354",0
"2355",1
"2358",1
"2359",1
"2361",1
"2364",0
"2368",1
"2370",0
"2371",1
"2379",0
"2382",1
"2383",0
"2386",1
"2388",0
"2389",0
"2390",1
"2391",0
"2395",0
"2396",1
"2397",1
"2403",0
"2405",1
"2408",1
"2413",1
"2414",1
"2417",1
"2425",1
"2426",1
"2427",1
"2428",1
"2429",1
"2430",1
"2431",1
"2433",1
"2438",1
"2440",1
"2441",1
"2442",1
"2443",1
"2444",0
"2446",1
"2453",1
"2456",1
"2459",1
"2460",1
"2461",1
"2462",1
"2463",1
"2465",1
"2467",1
"2475",1
"2476",1
"2480",1
"2482",1
"2483",1
"2485",1
"2486",1
"2489",0
"2490",1
"2493",1
"2498",1
"2500",1
"2503",1
"2504",1
"2505",0
"2508",1
"2512",0
"2513",0
"2518",0
"2519",1
"2520",1
"2522",1
"2526",1
"2529",1
"2530",1
"2531",1
"2533",1
"2534",1
"2535",1
"2538",0
"2539",1
"2540",1
"2542",1
"2546",1
"2552",1
"2553",0
"2554",1
"2556",1
"2558",1
"2562",1
"2564",1
"2565",1
"2566",1
"2568",1
"2577",1
"2579",1
"2583",1
"2584",1
"2587",0
"2590",1
"2591",1
"2594",1
"2595",0
"2598",0
"2602",1
"2609",0
"2611",1
"2613",1
"2614",1
"2615",1
"2620",1
"2624",1
"2626",1
"2629",1
"2637",1
"2641",0
"2643",1
"2645",0
"2649",1
"2651",1
"2653",1
"2654",1
"2655",0
"2659",1
"2660",1
"2668",1
"2670",1
"2674",0
"2676",1
"2678",1
"2683",0
"2686",1
"2688",1
"2689",1
"2690",1
"2691",1
"2692",0
"2693",1
"2695",1
"2697",1
"2699",1
"2701",1
"2703",1
"2705",1
"2710",1
"2718",0
"2720",1
"2721",1
"2726",1
"2729",1
"2732",1
"2735",1
"2738",1
"2740",1
"2745",0
"2746",1
"2748",0
"2749",1
"2750",0
"2751",1
"2759",0
"2764",1
"2769",0
"2770",1
"2776",1
"2777",1
"2778",0
"2780",0
"2785",1
"2786",1
"2788",1
"2790",1
"2795",1
"2796",1
"2797",1
"2798",1
"2801",1
"2803",1
"2810",1
"2811",1
"2813",1
"2819",1
"2820",0
"2822",1
"2823",1
"2824",0
"2826",0
"2827",1
"2830",1
"2831",1
"2832",1
"2833",0
"2837",1
"2839",1
"2840",1
"2842",1
"2845",1
"2848",1
"2851",1
"2853",1
"2855",0
"2856",1
"2857",1
"2863",1
"2864",1
"2869",1
"2870",0
"2872",1
"2873",1
"2874",1
"2876",1
"2879",1
"2883",1
"2885",1
"2886",1
"2887",1
"2890",0
"2891",1
"2892",1
"2894",1
"2896",0
"2901",1
"2902",1
"2903",0
"2904",0
"2910",0
"2911",1
"2921",1
"2923",1
"2925",0
"2926",0
"2931",1
"2933",1
"2935",1
"2942",1
"2946",1
"2948",1
"2951",0
"2958",0
"2959",0
"2969",1
"2970",1
"2977",1
"2979",0
"2980",1
"2984",1
"2987",1
"2989",0
"2991",1
"2992",0
"2993",1
"2994",1
"2996",1
"3003",1
"3004",1
"3005",1
"3006",1
"3011",1
"3013",0
"3014",1
"3016",1
"3019",1
"3021",1
"3025",1
"3028",1
"3038",0
"3040",1
"3041",1
"3043",1
"3047",1
"3054",0
"3059",0
"3061",1
"3065",1
"3069",1
"3075",1
"3076",1
"3079",1
"3081",0
"3083",0
"3084",1
"3093",1
"3094",1
"3098",0
"3100",1
"3103",1
"3106",1
"3107",0
"3109",0
"3112",1
"3113",1
"3114",1
"3118",1
"3122",0
"3125",1
"3126",0
"3134",1
"3135",1
"3136",1
"3139",1
"3140",1
"3141",0
"3143",1
"3144",1
"3145",1
"3151",1
"3153",1
"3154",1
"3155",1
"3156",1
"3161",1
"3162",1
"3166",1
"3169",1
"3173",1
"3175",1
"3177",1
"3183",1
"3187",0
"3188",1
"3189",1
"3195",1
"3196",1
"3197",0
"3199",1
"3203",1
"3204",1
"3206",0
"3208",1
"3209",1
"3211",1
"3213",1
"3214",1
"3215",1
"3219",1
"3221",1
"3222",0
"3223",1
"3225",1
"3233",1
"3236",1
"3237",0
"3243",1
"3246",1
"3250",0
"3251",1
"3255",1
"3257",1
"3258",1
"3260",1
"3262",1
"3265",0
"3266",1
"3268",1
"3269",0
"3275",1
"3276",1
"3277",1
"3280",1
"3281",1
"3288",1
"3289",1
"3290",1
"3295",0
"3297",1
"3302",1
"3304",1
"3305",0
"3309",1
"3310",1
"3313",1
"3317",1
"3319",1
"3320",0
"3326",1
"3330",1
"3332",1
"3335",1
"3336",1
"3338",0
"3339",1
"3340",0
"3341",1
"3344",1
"3350",1
"3351",0
"3356",0
"3359",1
"3361",1
"3366",1
"3367",0
"3369",1
"3370",1
"3371",1
"3374",1
"3375",1
"3377",1
"3379",1
"3381",1
"3382",0
"3384",0
"3388",1
"3390",1
"3391",1
"3395",0
"3396",1
"3397",1
"3398",0
"3399",0
"3400",1
"3401",1
"3402",1
"3406",1
"3408",1
"3410",0
"3411",1
"3416",1
"3417",1
"3422",1
"3426",0
"3429",1
"3430",1
"3431",1
"3436",1
"3437",0
"3440",1
"3442",1
"3443",1
"3445",1
"3446",1
"3448",1
"3449",0
"3450",1
"3456",1
"3457",1
"3458",0
"3462",1
"3463",1
"3464",1
"3466",1
"3468",0
"3474",0
"3475",1
"3476",1
"3477",1
"3479",1
"3481",1
"3483",1
"3484",0
"3487",1
"3490",0
"3492",1
"3493",1
"3495",0
"3499",1
"3501",0
"3505",1
"3506",0
"3511",0
"3512",1
"3513",0
"3514",1
"3522",1
"3527",1
"3528",1
"3529",1
"3534",1
"3537",1
"3541",1
"3545",0
"3547",1
"3552",1
"3554",0
"3555",1
"3557",1
"3560",1
"3562",1
"3564",0
"3565",0
"3566",1
"3570",0
"3572",1
"3576",1
"3577",1
"3579",1
"3580",1
"3581",1
"3584",1
"3586",1
"3592",1
"3593",1
"3603",1
"3606",1
"3607",1
"3609",1
"3611",1
"3613",1
"3616",0
"3618",1
"3620",0
"3621",1
"3622",1
"3624",1
"3625",0
"3626",1
"3627",1
"3638",1
"3639",1
"3643",0
"3645",0
"3646",1
"3652",0
"3659",1
"3663",1
"3666",1
"3667",0
"3669",1
"3671",1
"3672",0
"3673",0
"3677",1
"3686",1
"3691",1
"3695",1
"3697",1
"3698",0
"3699",1
"3701",1
"3704",1
"3709",1
"3719",1
"3720",0
"3721",1
"3722",1
"3723",1
"3724",1
"3726",1
"3727",1
"3728",1
"3729",1
"3730",1
"3731",0
"3737",1
"3739",0
"3744",1
"3746",0
"3748",0
"3749",0
"3751",1
"3752",1
"3755",0
"3756",1
"3758",1
"3761",0
"3762",0
"3765",1
"3766",1
"3769",1
"3770",1
"3776",1
"3777",1
"3781",0
"3782",1
"3783",1
"3787",0
"3789",1
"3792",1
"3798",0
"3800",1
"3803",0
"3804",1
"3806",1
"3807",1
"3808",0
"3814",0
"3816",0
"3817",1
"3818",1
"3819",1
"3820",1
"3821",1
"3824",1
"3825",1
"3826",0
"3831",1
"3833",0
"3843",1
"3847",1
"3849",1
"3852",1
"3854",1
"3858",1
"3861",1
"3862",1
"3863",0
"3864",1
"3866",0
"3867",0
"3868",1
"3875",0
"3876",1
"3878",1
"3879",0
"3881",1
"3883",1
"3886",1
"3889",1
"3892",1
"3896",1
"3897",1
"3900",1
"3902",1
"3904",0
"3905",0
"3908",1
"3911",0
"3913",1
"3915",1
"3920",1
"3922",1
"3924",0
"3926",1
"3932",1
"3934",1
"3935",0
"3936",1
"3937",1
"3938",1
"3939",1
"3940",1
"3942",1
"3943",1
"3948",1
"3951",1
"3954",1
"3959",1
"3961",1
"3962",1
"3966",1
"3969",1
"3970",1
"3972",0
"3973",0
"3974",1
"3978",1
"3980",1
"3981",0
"3982",1
"3985",1
"3987",0
"3990",1
"3996",1
"3998",1
"4000",0
"4001",0
"4003",1
"4006",1
"4010",0
"4011",1
"4012",0
"4013",1
"4014",1
"4022",0
"4024",1
"4028",1
"4034",1
"4036",1
"4037",0
"4039",1
"4041",1
"4042",1
"4044",1
"4045",1
"4047",1
"4048",1
"4050",1
"4055",0
"4056",0
"4058",1
"4060",1
"4062",1
"4064",0
"4066",1
"4071",0
"4076",1
"4080",0
"4083",1
"4086",0
